Episode,Outcome,Avg_Performance,SmartMovePlayer1
390,2,0.46,0.50
391,None,0.44,0.50
392,None,0.42,0.50
393,2,0.42,0.50
394,2,0.42,0.50
395,2,0.42,0.50
396,None,0.44,0.50
397,None,0.42,0.50
398,1,0.40,0.50
399,2,0.44,0.50
400,1,0.40,0.50
401,2,0.40,0.50
402,2,0.40,0.50
403,2,0.42,0.50
404,2,0.46,0.50
405,1,0.46,0.50
406,2,0.48,0.50
407,2,0.48,0.50
408,2,0.48,0.50
409,2,0.48,0.50
410,1,0.44,0.50
411,None,0.44,0.50
412,2,0.48,0.50
413,2,0.48,0.50
414,2,0.48,0.50
415,None,0.46,0.50
416,2,0.46,0.50
417,2,0.46,0.50
418,2,0.48,0.50
419,1,0.48,0.50
420,2,0.48,0.50
Increment at Episode 421: SmartMovePlayer1 increased to 0.60
421,2,0.52,0.60
422,2,1.00,0.60
423,2,1.00,0.60
424,2,1.00,0.60
425,2,1.00,0.60
426,2,1.00,0.60
427,2,1.00,0.60
428,1,0.71,0.60
429,1,0.50,0.60
430,1,0.33,0.60
431,1,0.20,0.60
432,2,0.27,0.60
433,None,0.25,0.60
434,1,0.15,0.60
435,2,0.21,0.60
436,2,0.27,0.60
437,1,0.19,0.60
438,2,0.24,0.60
439,2,0.28,0.60
440,2,0.32,0.60
441,2,0.35,0.60
442,2,0.38,0.60
443,2,0.41,0.60
444,2,0.43,0.60
445,None,0.42,0.60
446,2,0.44,0.60
447,2,0.46,0.60
448,2,0.48,0.60
449,2,0.50,0.60
450,2,0.52,0.60
451,1,0.47,0.60
452,2,0.48,0.60
453,2,0.50,0.60
454,2,0.52,0.60
455,2,0.53,0.60
456,2,0.54,0.60
457,None,0.53,0.60
458,2,0.54,0.60
459,None,0.53,0.60
460,1,0.49,0.60
461,2,0.50,0.60
462,1,0.46,0.60
463,2,0.48,0.60
464,2,0.49,0.60
465,2,0.50,0.60
466,1,0.47,0.60
467,None,0.46,0.60
468,2,0.47,0.60
469,2,0.48,0.60
470,1,0.45,0.60
471,2,0.46,0.60
472,1,0.42,0.60
473,2,0.42,0.60
474,None,0.40,0.60
475,1,0.36,0.60
476,1,0.32,0.60
477,1,0.28,0.60
478,1,0.28,0.60
479,None,0.30,0.60
480,2,0.34,0.60
481,None,0.36,0.60
482,1,0.32,0.60
483,2,0.34,0.60
484,1,0.34,0.60
485,2,0.34,0.60
486,2,0.34,0.60
487,2,0.38,0.60
488,None,0.36,0.60
489,None,0.34,0.60
490,2,0.34,0.60
491,2,0.34,0.60
492,None,0.32,0.60
493,1,0.28,0.60
494,2,0.28,0.60
495,2,0.30,0.60
496,2,0.30,0.60
497,2,0.30,0.60
498,2,0.30,0.60
499,None,0.28,0.60
500,2,0.28,0.60
501,1,0.28,0.60
502,2,0.28,0.60
503,2,0.28,0.60
504,2,0.28,0.60
505,2,0.28,0.60
506,2,0.28,0.60
507,2,0.30,0.60
508,None,0.28,0.60
509,2,0.30,0.60
510,None,0.32,0.60
511,1,0.28,0.60
512,2,0.32,0.60
513,2,0.32,0.60
514,2,0.32,0.60
515,2,0.32,0.60
516,2,0.36,0.60
517,2,0.38,0.60
518,2,0.38,0.60
519,None,0.36,0.60
520,2,0.40,0.60
521,2,0.40,0.60
522,2,0.44,0.60
523,2,0.44,0.60
524,2,0.46,0.60
525,None,0.48,0.60
Increment at Episode 526: SmartMovePlayer1 increased to 0.70
526,2,0.52,0.70
527,2,1.00,0.70
528,2,1.00,0.70
529,2,1.00,0.70
530,2,1.00,0.70
531,2,1.00,0.70
532,2,1.00,0.70
533,2,1.00,0.70
534,2,1.00,0.70
535,2,1.00,0.70
536,1,0.80,0.70
537,1,0.64,0.70
538,None,0.58,0.70
539,None,0.54,0.70
540,2,0.57,0.70
541,2,0.60,0.70
542,1,0.50,0.70
543,2,0.53,0.70
544,1,0.44,0.70
545,2,0.47,0.70
546,None,0.45,0.70
547,2,0.48,0.70
548,2,0.50,0.70
549,1,0.43,0.70
550,2,0.46,0.70
551,2,0.48,0.70
552,2,0.50,0.70
553,2,0.52,0.70
554,2,0.54,0.70
555,1,0.48,0.70
556,2,0.50,0.70
557,2,0.52,0.70
558,2,0.53,0.70
559,2,0.55,0.70
560,2,0.56,0.70
561,None,0.54,0.70
562,2,0.56,0.70
563,2,0.57,0.70
564,1,0.53,0.70
565,None,0.51,0.70
566,1,0.47,0.70
567,None,0.46,0.70
568,2,0.48,0.70
569,2,0.49,0.70
570,2,0.50,0.70
571,None,0.49,0.70
572,1,0.46,0.70
573,2,0.47,0.70
574,1,0.44,0.70
575,None,0.43,0.70
576,1,0.40,0.70
577,None,0.38,0.70
578,None,0.36,0.70
579,None,0.34,0.70
580,2,0.34,0.70
581,1,0.30,0.70
582,2,0.30,0.70
583,2,0.30,0.70
584,2,0.30,0.70
585,2,0.30,0.70
586,None,0.32,0.70
587,2,0.36,0.70
588,None,0.36,0.70
589,2,0.38,0.70
590,2,0.38,0.70
591,1,0.34,0.70
592,1,0.34,0.70
593,1,0.30,0.70
594,2,0.34,0.70
595,2,0.34,0.70
596,2,0.36,0.70
597,2,0.36,0.70
598,None,0.34,0.70
599,1,0.34,0.70
600,2,0.34,0.70
601,2,0.34,0.70
602,1,0.30,0.70
603,2,0.30,0.70
604,1,0.26,0.70
605,2,0.30,0.70
606,2,0.30,0.70
607,None,0.28,0.70
608,1,0.24,0.70
609,2,0.24,0.70
610,2,0.24,0.70
611,None,0.24,0.70
612,None,0.22,0.70
613,2,0.22,0.70
614,2,0.26,0.70
615,2,0.28,0.70
616,None,0.30,0.70
617,2,0.32,0.70
618,2,0.32,0.70
619,2,0.32,0.70
620,1,0.28,0.70
621,2,0.30,0.70
622,2,0.34,0.70
623,2,0.34,0.70
624,2,0.38,0.70
625,2,0.40,0.70
626,1,0.40,0.70
627,None,0.40,0.70
628,1,0.38,0.70
