Episode,Outcome,Avg_Performance,SmartMovePlayer1
446,1,-0.14,0.60
447,2,-0.14,0.60
448,1,-0.14,0.60
449,1,-0.18,0.60
450,1,-0.22,0.60
451,1,-0.26,0.60
452,2,-0.22,0.60
453,1,-0.22,0.60
454,None,-0.20,0.60
455,1,-0.24,0.60
456,1,-0.24,0.60
457,2,-0.20,0.60
458,2,-0.20,0.60
459,1,-0.20,0.60
460,2,-0.16,0.60
461,1,-0.16,0.60
462,2,-0.12,0.60
463,None,-0.10,0.60
464,1,-0.10,0.60
465,None,-0.08,0.60
466,1,-0.12,0.60
467,2,-0.12,0.60
468,1,-0.12,0.60
469,2,-0.12,0.60
470,2,-0.12,0.60
471,2,-0.08,0.60
472,2,-0.04,0.60
473,2,-0.04,0.60
474,1,-0.04,0.60
475,2,0.00,0.60
476,2,0.04,0.60
477,1,0.00,0.60
478,None,0.00,0.60
479,2,0.00,0.60
480,1,-0.04,0.60
481,2,-0.04,0.60
482,2,-0.04,0.60
483,2,0.00,0.60
484,2,0.00,0.60
485,1,0.00,0.60
486,2,0.04,0.60
487,2,0.08,0.60
488,2,0.08,0.60
489,2,0.08,0.60
490,1,0.04,0.60
491,2,0.08,0.60
492,1,0.08,0.60
493,2,0.12,0.60
494,2,0.16,0.60
495,2,0.16,0.60
496,1,0.16,0.60
497,2,0.16,0.60
498,2,0.20,0.60
499,1,0.20,0.60
500,2,0.24,0.60
501,1,0.24,0.60
502,2,0.24,0.60
503,2,0.28,0.60
504,2,0.30,0.60
505,2,0.34,0.60
506,None,0.36,0.60
507,None,0.34,0.60
508,2,0.34,0.60
509,None,0.36,0.60
510,2,0.36,0.60
511,None,0.38,0.60
512,1,0.34,0.60
513,2,0.36,0.60
514,2,0.40,0.60
515,None,0.40,0.60
516,2,0.44,0.60
517,1,0.40,0.60
518,2,0.44,0.60
519,2,0.44,0.60
520,2,0.44,0.60
521,2,0.44,0.60
522,2,0.44,0.60
523,1,0.40,0.60
524,2,0.44,0.60
525,1,0.40,0.60
526,1,0.36,0.60
527,1,0.36,0.60
528,1,0.34,0.60
529,None,0.32,0.60
530,None,0.34,0.60
531,2,0.34,0.60
532,2,0.34,0.60
533,2,0.34,0.60
